column	Definition	Helpful hints	Links	Format	Example mouse gut feces	Example mouse gut intestine mucosa	Example mouse gut cecal content	Example host-associated gut captive/domesticated - whole gut	Example mouse mesenteric lymph node	Example mouse spleen	Example rat blood	Example mouse skin	Example host-associated gut captive/domesticated	Example host-associated gut wild	Example host-associated oral captive/domesticated	Example host-associated oral wild	Example host-associated skin captive/domesticated	Example host-associated skin wild	Example host-associated skin fish	Example host-associated fish gut	Example host-associated fish gill	Example host-associated insect	Example host-associated insect gut	Example host-associated sponge	Example host-associated coral	Example plant-associated - fruit, leaves, stem, roots	Example plant-associated - rhizosphere	Example abalone surface biofilm	Example macroalgae/kelp	Example host-associated - sea cucumber	Example human-associated sputum	Example human-gut feces	Example human-gut mucosa	Example human-gut content	Example human-anal swab	Example human-vaginal	Example human-skin palm	Example human-skin forehead	Example human-oral tongue	Example human-oral saliva	Example human-associated nasal mucus	Example human-associated ear wax/cerumen	Example human-associated lung	Example human - blood	Example human - finger nail	Example human-urine	Example human-oropharynx	Example air	Example anaerobic digester	Example soil	Example rhizome	Example sea water	Example fresh water	Example waste water	Example sediment	Example marine sediment	Example biofilm	Example indoor	Example dust	Example hospital	Example food product	Example fermented food product	Example built environment surface	Example control blank (DNA extraction)	Example control blank (PCR-library prep)	Example control positive/mock community (DNA extraction)	Example control positive/mock community (PCR-library prep)	Example control positive single strain
ENV_FEATURE	Classification of a specific feature in the biome	required for all sample submissions e.g. Was the feature a forest, grassland, agricultural site	ols.wordvis.com	text from Environmental Ontology (ENVO)	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	animal-associated habitat	insecta-associated habitat	insecta-associated habitat	animal-associated habitat	animal-associated habitat	plant-associated habitat	plant-associated habitat	animal-associated habitat	kelp forest	animal-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	human-associated habitat	city	anaerobic bioreactor	(type of) soil	plant-associated habitat	zone of marine/reef,shore	river/lake/stream	sewer	river/lake/stream	coral reef	research   facility	building/anthropogenic habitat	building/anthropogenic habitat	hospital	research facility	research facility	building/anthropogenic habitat	research facility	research facility	research facility	research facility	research facility
ENV_MATERIAL	Classification of the material being sampled	required for all sample submissions e.g. soil	ols.wordvis.com	text from Environmental Ontology (ENVO)	feces	intestine environment	intestine environment	intestine environment	organic material	organic material	blood	feces	feces	feces	saliva	saliva	sebum	sebum	mucus	intestine environment	mucus	organic material	intestine environment	organic material	organic material	organic material	organic material/soil	biofilm	organic material/biofilm	intestine environment	bodily fluid	feces	intestine environment	intestine environment	feces	mucus	sebum	sebum	saliva	saliva	mucus	ear wax	bodily fluid	blood	organic material	urine	saliva	air	organic material	soil	rhizosphere	sea water/ocean water/ hypersaline water	fresh water	waste water/sewage	sediment	marine sediment	biofilm	anthropogenic environmental material	dust	anthropogenic environmental material	cheese product	beer	dust	sterile water	sterile water	cell culture	cell culture	cell culture
ENV_package	environments where the sample was obtained	select one appropriate to sample type for each sample	[air|built environment|host-associated|human-associated|human-skin|human-oral|human-gut|human-vaginal|microbial mat/biofilm|misc environment|plant-associated|sediment|soil|wastewater/sludge|water]	restricted vocabulary	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	host-associated	plant-associated	plant-associated	host-associated	host-associated	host-associated	human-associated	human-gut	human-gut	human-gut	human-gut	human-vaginal	human-skin	human-skin	human-oral	human-oral	human-associated	human-associated	human-associated	human-associated	human-associated	human-associated	human-associated	air	wastewater/sludge	soil	soil		water	wastewater/sludge	sediment	sediment	misc environment	built environment	built environment	built environment	misc environment	misc environment	built environment	misc environment	misc environment	misc environment	misc environment	misc environment
LATITUDE	Classification of the site by latitude and longitude in decimal degrees	required for all sample submissions. Please convert from GPS co-ordinates  or DD MM SS to decimal degrees		DD.MM..	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	-3,1	-5,1	-3,1	-5,1	-3,1	-5,1	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	48,393612	18,2	32,5	40,127	40,127	40,127	32,5	40,1	40,1	40,1	40,1	40,1	40,1	40,1	32,5	40,127	32,5	32,5	32,5	41,482222	42	42	42	42	42	42	42	42	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5	32,5
LONGITUDE	Classification of the site by latitude and longitude in decimal degrees	required for all sample submissions. Please convert from GPS co-ordinates  or DD MM SS to decimal degrees		DD.MM..	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-60,016667	-63,1	-60,016667	-63,1	-60,016667	-63,1	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-124,735151	-66,5	-117,25	-74,0059	-74,0059	-74,0059	-117,25	-105,2	-105,2	-105,2	-105,2	-105,2	-105,2	-105,2	-117,25	-74,0059	-117,25	-117,25	-117,25	-81,669722	-77	-77	-77	-77	-77	-77	-77	-77	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25	-117,25
COLLECTION_TIMESTAMP	The day and time of sampling, single point in time using a 24 hour time format	"YYYY-MM-DD hh:mm (24 hour time); or YYYY-MM-DD, YYYY-MM or YYYY"	ISO 8601	2016-11-22	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23	2017-05-23	2017-05-23	2017-05-23 11:00	2015-05-23	2015	2015-05-23	2015	2015-05-23	2015	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-05-23 11:00	2017-07-10	2011-09 -09 14:30	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2018-12-18	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2016-11-22	2016-11-22	2018-01	2018-12-18	2018-12-18	2017-05-23 11:00	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2017-06-05	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22	2016-11-22
dna_extracted	has the dna been extracted from the sample	TRUE/FALSE		TRUE/FALSE	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI
physical_specimen_location	where the sample is stored (if there is any left)	text of center		UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UPR	UCSDMI	Albert Einstein Medical Center	Albert Einstein Medical Center	Albert Einstein Medical Center	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	Albert Einstein Medical Center	UCSDMI	UCSDMI	UCSDMI	CCME	Cornell	Cornell	Cornell	Cornell	Cornell	Cornell	Cornell	Cornell	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI	UCSDMI
physical_specimen_remaining	Is there any raw specimen left to sample	TRUE/FALSE		TRUE/FALSE	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	FAUX	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	FAUX	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI	VRAI
host_age	host_age in appropriate units			float	10	10	10	10	10	10	10	10	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	35	35	35	35	35	36	36	36	36	36	36	36	36	35	8	35	35	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
host_age_units	age units			Free text	weeks	weeks	weeks	weeks	weeks	weeks	weeks	weeks	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	years	years	years	years	years	years	years	years	years	years	years	years	years	years	years	years	years	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
host_subject_id	should be a label that applies to all samples belonging to one subject or one sample			Free text	mouse 1	mouse 1	mouse 1	mouse 1	mouse 1	mouse 1	rat 1	mouse 1	Dog 1	Dog 1	Dog 1	Dog 1	Dog 1	Dog 1	Fish1	Fish1	Fish1	bee 1	bee 1	sponge 1	coral 1	plant 1	root 1	sample 1	sample 1	sea cucumber 4	e.g.ID2046	e.g.ID2046	e.g.ID2046	e.g.ID2046	e.g.ID2046	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2045	e.g.ID2046	e.g.ID2046	e.g.ID2046	e.g.ID2046	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1	sample 1
host_taxid	taxonomy id of host e.g. human is 9606	Distinguish from Taxon_id for all metagenome studies 	 http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi	integer	10090	10090	10090	10090	10090	10090	10116	10090	10090	9615	9615	9615	9615	9615	13676	13676	13676	7460	7460	121489	6073	3193	3193	6453	117523	31192	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	9606	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	1423
host_scientific_name	host scientific name e.g. Homo sapiens	for all host-associated studies	 http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi	Free text	Mus musculus	Mus musculus	Mus musculus	Mus musculus	Mus musculus	Mus musculus	Rattus norvegicus	Mus musculus	Mus musculus	Canis lupus familiaris	Canis lupus familiaris	Canis lupus familiaris	Canis lupus familiaris	Canis lupus familiaris	Scomber japonicus	Scomber japonicus	Scomber japonicus	Apis melliflera	Apis melliflera	Spongia	Cnidaria	Embryophyta	Embryophyta	Haliotis corrugata	Nereocystis luetkeana	Holothuria glaberrima	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Homo sapiens	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Bacillus subtilis
host_common_name	common usage term for host e.g. human	for all host-associated studies	 http://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi		mouse	mouse	mouse	mouse	mouse	mouse	rat	mouse	mouse	dog	dog	dog	dog	dog	Chub mackerel	Chub mackerel	Chub mackerel	bee	bee	sponges	corals	plants	plants	pink abalone	brown algae	sea cucumber	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human	human		Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	B. subtilis
host_life_stage	e.g. adult	of host	adult, juvenile, infant		adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	adult	child	adult	adult	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
sex	male, female	of host	Limited vocabulary: male, female, neuter, hermaphrodite	Free text	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	male	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	male	male	male	male	female	female	female	female	female	female	female	female	female	male	male, female	female	female	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
host_height	(or length) of host in cm preferred	of host		float	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable		Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not provided	162	162	162	162	162	158	158	158	158	158	158	158	158	162	50	162	162	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
host_height_units	cm or inches				Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not applicable	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not applicable	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	cm	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
host_weight	in kilograms preferred	of host		float	45	45	45	45	45	45	45	45	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not provided	Not provided	Not provided	Not provided	Not provided	Not provided	Not applicable	Not applicable	Not applicable	75	75	75	75	68	68	68	68	68	68	68	68	68	75	25	68	68	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable
